Asset,BAC,C,JPM,WFC,RF,BBT,IBM,AAPL,GOOG,CISCO,MSFT,YHOO,BP,XOM,RIG,PXD,CVX,SLB,EXC,SO,DUK,ED,NEE,SBS,FCX,AA,ABX,VALE,POT,AU
Sector,Financial,Financial,Financial,Financial,Financial,Financial,Technology,Technology,Technology,Technology,Technology,Technology,Energy,Energy,Energy,Energy,Energy,Energy,Utilities,Utilities,Utilities,Utilities,Utilities,Utilities,Basic Materials,Basic Materials,Basic Materials,Basic Materials,Basic Materials,Basic Materials
Beta,2.83,3.01,1.74,1.84,2.11,1.48,0.55,0.91,0.96,1.25,0.96,0.69,1.46,0.57,1.2,1.6,0.84,1.34,0.38,0.19,0.33,0.22,0.46,1.54,1.66,1.92,0.24,1.27,0.76,0.29
Volatility,0.0141,0.0150,0.0155,0.0140,0.0138,0.0121,0.0079,0.0230,0.0108,0.0168,0.0274,0.0160,0.0111,0.0076,0.0112,0.0298,0.0086,0.0150,0.0128,0.0115,0.0107,0.0100,0.0142,0.0339,0.0183,0.0153,0.0331,0.0231,0.0389,0.0384
Starting Price,15.9,53.3,57.89,44.53,9.89,34.97,178.99,525.49,1050.57,21.36,37.7,36.35,47.45,94.97,51,180.51,123.55,89.93,27.28,41.04,71.03,55.9,86.11,10.79,35.8,9.56,16.61,15.14,31.02,13.47
S&P 500 Price,1671.71,1683.99,1689.13,1683.42,1687.99,1697.6,1704.76,1725.52,1722.34,1709.91,1701.84,1697.42,1692.77,1698.67,1691.75,1681.55,1695,1693.87,1678.66,1690.5,1676.12,1655.45,1656.4,1692.56,1703.2,1710.14,1698.06,1721.54,1733.15,1744.5
Start Date,1/13/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,2/21/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiration Date,3/21/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
